lat,lon,densidade,densidade_baseline
-23.719637583892617,-46.82290604026846,7845.659635320775,2226.4091816812106
-23.71526845637584,-46.82290604026846,7946.459298566603,2230.680400830979
-23.71089932885906,-46.82290604026846,8044.934995029838,2234.7671917332054
-23.70653020134228,-46.82290604026846,8140.964370201226,2238.668509484805
-23.702161073825504,-46.82290604026846,8234.426656163567,2242.3833552695637
-23.697791946308723,-46.82290604026846,8325.202913054167,2245.9107767840273
-23.693422818791944,-46.82290604026846,8413.176270183478,2249.249868643959
-23.689053691275166,-46.82290604026846,8498.23216616818,2252.399772771373
-23.68468456375839,-46.82290604026846,8580.258587428592,2255.3596787617494
-23.68031543624161,-46.82290604026846,8659.146304395823,2258.128824231205
-23.675946308724832,-46.82290604026846,8734.789104770427,2260.7064951435723
-23.67157718120805,-46.82290604026846,8807.084023170348,2263.0920261169704
-23.66720805369128,-46.82290604026846,8875.931566511601,2265.2848007098514
-23.66283892617449,-46.82290604026846,8941.235934461003,2267.2842516863325
-23.65846979865772,-46.82290604026846,9002.905234313956,2269.089861260473
-23.654100671140935,-46.82290604026846,9060.851689650128,2270.7011613196764
-23.64973154362416,-46.82290604026846,9114.991842134168,2272.117733626747
-23.645362416107385,-46.82290604026846,9165.246745839726,2273.3392100006913
-23.640993288590604,-46.82290604026846,9211.542153489268,2274.3652724761223
-23.636624161073826,-46.82290604026846,9253.808694018337,2275.1956534410638
-23.632255033557048,-46.82290604026846,9291.98204089358,2275.8301357531905
-23.627885906040262,-46.82290604026846,9326.003070633527,2276.268552834424
-23.623516778523488,-46.82290604026846,9355.818011005287,2276.5107887437193
-23.61914765100671,-46.82290604026846,9381.378578395685,2276.556778228124
-23.61477852348993,-46.82290604026846,9402.642103883229,2276.406506752013
-23.610409395973157,-46.82290604026846,9419.571647567316,2276.0600105044878
-23.606040268456372,-46.82290604026846,9432.136100740978,2275.517376384961
-23.6016711409396,-46.82290604026846,9440.3102755295,2274.778741966867
-23.59730201342282,-46.82290604026846,9444.07498165039,2273.8442954396223
-23.59293288590604,-46.82290604026846,9443.417089987232,2272.7142755287914
-23.58856375838926,-46.82290604026846,9438.3295827095,2271.388971394516
-23.58419463087248,-46.82290604026846,9428.81158970794,2269.8687225083077
-23.579825503355703,-46.82290604026846,9414.868411158252,2268.1539185082074
-23.575456375838925,-46.82290604026846,9396.511526065784,2266.2449990324976
-23.571087248322147,-46.82290604026846,9373.758586688162,2264.1424535319784
-23.56671812080537,-46.82290604026846,9346.633398776254,2261.846821060936
-23.56234899328859,-46.82290604026846,9315.165887616937,2259.358690046979
