NUM_BO;DATA_OCORRENCIA_BO;HORA_OCORRENCIA_BO;NATUREZA APURADA;RUBRICA;DESC_PERIODO;DESCR_TIPOLOCAL;LATITUDE;LONGITUDE;BAIRRO;LOGRADOURO;NOME_DELEGACIA_CIRC;NOME_SECCIONAL_CIRC;FLAG_STATUS_CRIME;FLAG_FLAGRANTE;MES;ANO
BG4713;2026-01-26;05:38:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.7485788;-46.782035;CHÁCARA DA ENSEADA;Rua ParaIso;100º D.P. JDIM HERCULANO;DEL.SEC.6º SANTO AMARO;T;S;1.0;2026.0
BH7278;2026-01-26;11:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Favela;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;T;N;1.0;2026.0
BJ9959;2026-01-27;18:22:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.65589371;-46.78777766;CAPAO REDONDO;RUA FRANCISCO VIELMA;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;C;S;1.0;2026.0
BK0095;2026-01-27;18:42:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Saúde;-23.6087149;-46.4919173;JARDIM SAPOPEMBA;Rua Manuel França dos Santos;69º D.P. TEOTONIO VILELA;DEL.SEC.8º SAO MATEUS;C;N;1.0;2026.0
BK1137;2026-01-28;01:00:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.4771296;-46.7642419;VILA JARAGUÁ;Rua Doutor EnEas Carneiro;46º D.P. PERUS;DEL.SEC.3º OESTE;C;N;1.0;2026.0
BK1181;2026-01-28;02:20:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5087901;-46.5449145;VILA SANTO HENRIQUE;Rua Ilha de Tupinambaranas;10º D.P. PENHA DE FRANCA;DEL.SEC.5º LESTE;T;N;1.0;2026.0
BL6806;2026-01-28;16:15:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;73º D.P. JACANA;DEL.SEC.4º NORTE;T;S;1.0;2026.0
BL7689;2026-01-28;20:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5611177;-46.473704;CIDADE LÍDER;Rua SAo Francisco;53º D.P. PARQUE DO CARMO;DEL.SEC.8º SAO MATEUS;T;S;1.0;2026.0
BN3835;2026-01-29;17:40:00;LATROCINIO;Roubo (art. 157);;Via Pública;-23.9059354;-46.701463;EMBURÁ;Estrada Engenheiro Marsilac;25º D.P. PARELHEIROS;DEL.SEC.6º SANTO AMARO;C;N;1.0;2026.0
BN4444;2026-01-29;20:20:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;54º D.P. CID. TIRADENTES;DEL.SEC.8º SAO MATEUS;C;N;1.0;2026.0
BN5898;2026-01-29;22:55:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.539796;-46.5919931;BELENZINHO;Rua Doutor Clementino;81º D.P. BELEM;DEL.SEC.5º LESTE;T;S;1.0;2026.0
BP1840;2026-01-31;01:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5168771;-46.6751337;VILA LEOPOLDINA;Rua Doutor Edgard Theotonio Santana;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;S;1.0;2026.0
BP1840;2026-01-31;01:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5168771;-46.6751337;VILA LEOPOLDINA;Rua Doutor Edgard Theotonio Santana;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;S;1.0;2026.0
BP5767;2026-01-31;00:20:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Saúde;-23.5220965;-46.5627982;PARQUE NOVO MUNDO;Rua Francisco Fanganielo;90º D.P. PQ. NOVO MUNDO;DEL.SEC.4º NORTE;C;N;1.0;2026.0
BP6884;2026-01-31;13:50:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.56530697;-46.46764056;PARQUE DO CARMO;AVENIDA AFONSO DE SAMPAIO E SOUSA;53º D.P. PARQUE DO CARMO;DEL.SEC.8º SAO MATEUS;T;N;1.0;2026.0
BP9612;2026-01-31;14:30:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Saúde;-23.49700862;-46.43775209;SAO MIGUEL;RUA DOUTOR JOSE GUILHERME EIRAS;22º D.P. SAO MIGUEL PTA;DEL.SEC.7º ITAQUERA;C;N;1.0;2026.0
TB5324;2025-12-29;;LESAO CORPORAL SEGUIDA DE MORTE;LesAo corporal (art. 129);A tarde;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;50º D.P. ITAIM PAULISTA;DEL.SEC.7º ITAQUERA;C;N;12.0;2025.0
BN7190;2026-01-30;06:50:00;LESAO CORPORAL SEGUIDA DE MORTE;LesAo corporal (art. 129);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;103º D.P. COHABII/ITAQU.;DEL.SEC.7º ITAQUERA;C;N;1.0;2026.0
BQ1273;2026-01-31;20:27:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;100º D.P. JDIM HERCULANO;DEL.SEC.6º SANTO AMARO;T;S;1.0;2026.0
BQ1650;2026-01-31;21:48:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;16º D.P. VILA CLEMENTINO;DEL.SEC.2º SUL;C;N;1.0;2026.0
BQ1685;2026-01-31;21:38:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.7357426;-46.7940951;VILA CALU;Rua Angelito Mello;100º D.P. JDIM HERCULANO;DEL.SEC.6º SANTO AMARO;T;S;1.0;2026.0
BQ2569;2026-02-01;03:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.4580628;-46.6837393;JARDIM ELISA MARIA;Rua Manuel Aquilino dos Santos;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;T;N;2.0;2026.0
BQ2569;2026-02-01;03:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.4580628;-46.6837393;JARDIM ELISA MARIA;Rua Manuel Aquilino dos Santos;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;T;N;2.0;2026.0
BQ3143;2026-02-01;04:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;35º D.P. JABAQUARA;DEL.SEC.2º SUL;T;N;2.0;2026.0
BQ5475;2026-02-01;10:36:21;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.72573825;-46.76395675;JARDIM ANGELA;AVENIDA TAQUANDAVA;100º D.P. JDIM HERCULANO;DEL.SEC.6º SANTO AMARO;T;N;2.0;2026.0
BR0175;2026-02-02;01:20:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.58749483;-46.390619;CIDADE TIRADENTES;RUA ALEXANDRE DAVIDENKO;54º D.P. CID. TIRADENTES;DEL.SEC.8º SAO MATEUS;T;N;2.0;2026.0
BS4082;2026-02-02;17:11:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5182595;-46.6708374;VÁRZEA DA BARRA FUNDA;Rua Doutor MoisEs Kahan;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;S;2.0;2026.0
BU9179;2026-02-04;11:22:14;HOMICIDIO DOLOSO;HomicIdio (art. 121);;CondomInio Comercial;-23.4947734;-46.4274658;VILA CURUÇÁ VELHA;Avenida Marechal Tito;22º D.P. SAO MIGUEL PTA;DEL.SEC.7º ITAQUERA;C;N;2.0;2026.0
BV2627;2025-12-29;;TENTATIVA DE HOMICIDIO;FeminicIdio;Em hora incerta;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;77º D.P. SANTA CECILIA;DEL.SEC.1º CENTRO;T;N;12.0;2025.0
BX4063;2026-02-05;19:55:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Templo e Afins;-23.6677008;-46.64936521;JABAQUARA;RUA ALVARES FAGUNDES;97º D.P. AMERICANOPOLIS;DEL.SEC.2º SUL;T;N;2.0;2026.0
BX4370;2026-02-05;21:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.50635271;-46.61003536;SANTANA;Rua Doutor Gabriel Piza;09º D.P. - CARANDIRU;DEL.SEC.4º NORTE;T;N;2.0;2026.0
BX4370;2026-02-05;21:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.50635271;-46.61003536;SANTANA;Rua Doutor Gabriel Piza;09º D.P. - CARANDIRU;DEL.SEC.4º NORTE;T;N;2.0;2026.0
BX5884;2026-02-06;01:38:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5148469;-46.6765549;PONTE PEQUENA;Avenida Presidente Castelo Branco;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;N;2.0;2026.0
BX5884;2026-02-06;01:38:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5148469;-46.6765549;PONTE PEQUENA;Avenida Presidente Castelo Branco;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;N;2.0;2026.0
BX5884;2026-02-06;01:38:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5148469;-46.6765549;PONTE PEQUENA;Avenida Presidente Castelo Branco;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;N;2.0;2026.0
BX7203;2026-02-06;05:31:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Saúde;-23.66967627;-46.77312512;CAPAO REDONDO;AVENIDA COMENDADOR SANTANNA;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;T;N;2.0;2026.0
BZ0961;2026-02-06;22:51:00;LATROCINIO;Roubo (art. 157);;Via Pública;-23.61007909;-46.73106059;VILA SONIA;RUA CORREGIO;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;C;N;2.0;2026.0
BZ1378;2026-02-07;00:18:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;25º D.P. PARELHEIROS;DEL.SEC.6º SANTO AMARO;T;S;2.0;2026.0
BZ1378;2026-02-07;00:18:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;25º D.P. PARELHEIROS;DEL.SEC.6º SANTO AMARO;T;S;2.0;2026.0
BZ5631;2026-02-07;09:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;51º D.P. RIO PEQUENO;DEL.SEC.3º OESTE;T;N;2.0;2026.0
BZ9641;2026-02-07;14:49:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.5457068;-46.6313076;CENTRO HISTÓRICO DE SÃO PAULO;Parque Dom Pedro II;01º D.P. SE;DEL.SEC.1º CENTRO;C;N;2.0;2026.0
CA1531;2026-02-07;20:15:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.54827;-46.6508242;CONSOLAÇÃO;Rua da ConsolaçAo;04º D.P. CONSOLAÇAO;DEL.SEC.1º CENTRO;T;N;2.0;2026.0
CA1531;2026-02-07;20:15:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.54827;-46.6508242;CONSOLAÇÃO;Rua da ConsolaçAo;04º D.P. CONSOLAÇAO;DEL.SEC.1º CENTRO;T;N;2.0;2026.0
CA1840;2026-02-07;20:49:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Lazer e RecreaçAo;-23.5880667;-46.5523931;JARDIM TERESA;Rua Bartolomeu CorrEa Bueno;42º D.P. PARQUE S. LUCAS;DEL.SEC.5º LESTE;C;N;2.0;2026.0
CA2517;2026-02-07;22:45:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Restaurante e Afins;-23.6124353;-46.5945134;CIDADE NOVA HELIÓPOLIS;Estrada das LAgrimas;95º D.P. HELIOPOLIS;DEL.SEC.2º SUL;T;S;2.0;2026.0
BV9974;2026-02-05;03:05:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.6233319;-46.479064;PARQUE SAO RAFAEL;Avenida Miguel Motoki Ogushi;55º D.P. PARQUE S.RAFAEL;DEL.SEC.8º SAO MATEUS;C;S;2.0;2026.0
CB1568;2026-02-08;20:43:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.58207494;-46.38340882;CIDADE TIRADENTES;RUA BARAO TEIXEIRA DE CAMARGO;44º D.P. GUAIANAZES;DEL.SEC.8º SAO MATEUS;T;N;2.0;2026.0
CB2628;2026-02-09;00:43:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;T;S;2.0;2026.0
CB9974;2026-02-07;13:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.59084237;-46.79268228;JARDIM ARPOADOR;AVENIDA GENERAL ASDRUBAL DA CUNHA;75º D.P. JARDIM ARPOADOR;DEL.SEC.3º OESTE;T;N;2.0;2026.0
CC8004;2026-02-09;18:38:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Saúde;-23.5686906;-46.6401227;LIBERDADE;Rua Vergueiro;05º D.P. ACLIMACAO;DEL.SEC.1º CENTRO;C;S;2.0;2026.0
